Followers,Tweets per Day
0,0.0
1,0.020370852791666668
2,0.040741705583333336
3,0.061112558375
4,0.08148341116666667
5,0.10185426395833334
6,0.12222511675
7,0.14259596954166667
8,0.16296682233333334
9,0.18333767512500002
10,0.2037085279166667
11,0.22407938070833336
12,0.2444502335
13,0.2648210862916667
14,0.28519193908333335
15,0.305562791875
16,0.3259336446666667
17,0.34630449745833336
18,0.36667535025000003
19,0.3870462030416667
20,0.4074170558333334
21,0.42778790862500005
22,0.4481587614166667
23,0.4685296142083334
24,0.488900467
25,0.516455227875
26,0.54400998875
27,0.571564749625
28,0.5991195105
29,0.626674271375
30,0.65422903225
31,0.6817837931249999
32,0.709338554
33,0.736893314875
34,0.76444807575
35,0.792002836625
36,0.8195575975
37,0.847112358375
38,0.87466711925
39,0.9022218801249999
40,0.9297766409999999
41,0.9573314018749999
42,0.98488616275
43,1.0124409236249998
44,1.0399956845
45,1.067550445375
46,1.09510520625
47,1.122659967125
48,1.150214728
49,1.1690578547586206
50,1.1879009815172412
51,1.206744108275862
52,1.2255872350344827
53,1.2444303617931034
54,1.263273488551724
55,1.2821166153103447
56,1.3009597420689654
57,1.319802868827586
58,1.338645995586207
59,1.3574891223448275
60,1.3763322491034482
61,1.3951753758620689
62,1.4140185026206895
63,1.4328616293793104
64,1.451704756137931
65,1.4705478828965517
66,1.4893910096551723
67,1.508234136413793
68,1.5270772631724139
69,1.5459203899310343
70,1.5647635166896552
71,1.5836066434482758
72,1.6024497702068965
73,1.6212928969655171
74,1.6401360237241378
75,1.6589791504827587
76,1.6778222772413793
77,1.696665404
78,1.70985234875
79,1.7230392935
80,1.73622623825
81,1.749413183
82,1.76260012775
83,1.7757870725
84,1.78897401725
85,1.802160962
86,1.81534790675
87,1.8285348515
88,1.84172179625
89,1.854908741
90,1.86809568575
91,1.8812826305
92,1.89446957525
93,1.90765652
94,1.9208434647500001
95,1.9340304095
96,1.9472173542500002
97,1.9604042990000001
98,1.97359124375
99,1.9867781885000002
100,1.9999651332500001
101,2.013152078
102,2.02394438675
103,2.0347366955
104,2.04552900425
105,2.056321313
106,2.06711362175
107,2.0779059305
108,2.08869823925
109,2.099490548
110,2.11028285675
111,2.1210751655
112,2.13186747425
113,2.142659783
114,2.15345209175
115,2.1642444005
116,2.17503670925
117,2.185829018
118,2.19662132675
119,2.2074136355
120,2.21820594425
121,2.228998253
122,2.23979056175
123,2.2505828705
124,2.26137517925
125,2.272167488
126,2.2817624787083335
127,2.2913574694166665
128,2.300952460125
129,2.3105474508333335
130,2.3201424415416665
131,2.32973743225
132,2.3393324229583334
133,2.3489274136666665
134,2.358522404375
135,2.3681173950833334
136,2.3777123857916664
137,2.3873073765
138,2.3969023672083334
139,2.4064973579166664
140,2.416092348625
141,2.4256873393333334
142,2.4352823300416664
143,2.44487732075
144,2.4544723114583333
145,2.4640673021666664
146,2.473662292875
147,2.4832572835833333
148,2.4928522742916663
149,2.502447265
150,2.50964761975
151,2.5168479744999996
152,2.52404832925
153,2.531248684
154,2.53844903875
155,2.5456493934999997
156,2.55284974825
157,2.560050103
158,2.5672504577499997
159,2.5744508125
160,2.58165116725
161,2.5888515219999997
162,2.59605187675
163,2.6032522315
164,2.61045258625
165,2.617652941
166,2.62485329575
167,2.6320536505
168,2.6392540052499998
169,2.64645436
170,2.65365471475
171,2.6608550695
172,2.66805542425
173,2.675255779
174,2.679528990888889
175,2.6838022027777777
176,2.6880754146666668
177,2.6923486265555554
178,2.6966218384444445
179,2.7008950503333335
180,2.705168262222222
181,2.7094414741111112
182,2.713714686
183,2.717987897888889
184,2.722261109777778
185,2.7265343216666666
186,2.7308075335555557
187,2.7350807454444444
188,2.7393539573333334
189,2.743627169222222
190,2.747900381111111
191,2.752173593
192,2.756446804888889
193,2.760720016777778
194,2.7649932286666665
195,2.7692664405555556
196,2.7735396524444447
197,2.7778128643333333
198,2.7820860762222224
199,2.786359288111111
200,2.7906325
201,2.792859632923077
202,2.795086765846154
203,2.797313898769231
204,2.799541031692308
205,2.8017681646153845
206,2.8039952975384614
207,2.8062224304615384
208,2.8084495633846154
209,2.8106766963076923
210,2.8129038292307693
211,2.8151309621538463
212,2.8173580950769233
213,2.819585228
214,2.8218123609230767
215,2.8240394938461537
216,2.8262666267692307
217,2.8284937596923077
218,2.8307208926153846
219,2.8329480255384616
220,2.8351751584615386
221,2.8374022913846155
222,2.839629424307692
223,2.841856557230769
224,2.844083690153846
225,2.846310823076923
226,2.848537956
227,2.8485541036363635
228,2.848570251272727
229,2.8485863989090907
230,2.8486025465454543
231,2.848618694181818
232,2.848634841818182
233,2.8486509894545455
234,2.848667137090909
235,2.8486832847272727
236,2.8486994323636363
237,2.84871558
238,2.8487317276363635
239,2.848747875272727
240,2.8487640229090907
241,2.8487801705454543
242,2.848796318181818
243,2.848812465818182
244,2.8488286134545455
245,2.848844761090909
246,2.8488609087272727
247,2.8488770563636363
248,2.848893204
249,2.8511203369615385
250,2.8533474699230768
251,2.8555746028846154
252,2.8578017358461536
253,2.8600288688076922
254,2.8622560017692305
255,2.864483134730769
256,2.8667102676923077
257,2.868937400653846
258,2.8711645336153846
259,2.873391666576923
260,2.8756187995384614
261,2.8778459324999996
262,2.8800730654615383
263,2.882300198423077
264,2.884527331384615
265,2.886754464346154
266,2.888981597307692
267,2.8912087302692306
268,2.8934358632307693
269,2.8956629961923075
270,2.897890129153846
271,2.9001172621153843
272,2.902344395076923
273,2.904571528038461
274,2.906798661
275,2.9068151076666666
276,2.9068315543333334
277,2.9068480009999997
278,2.9068644476666665
